topic,label,size,share_%,coherence_cv,keywords
0,know · world · united,3996,96.64,0.213,"know, world, united, house, fight, follow, people, patriots, panic, dc"
1,wwg1wga wwg1wga · wwg1wga · wrwy,80,1.93,0.4205,"wwg1wga wwg1wga, wwg1wga, wrwy, people wwg1wga, visible, unitednotdivided, fail wwg1wga, try harder, maryland, divide fail"
2,vip · vip patriot · vip patriots,43,1.04,0.2664,"vip, vip patriot, vip patriots, enjoy, patriot, eyes, 55, row, patriots, patriots thank"
-1,noise / outliers,16,0.39,,"flagsout, love country, love, country, honor respect, country make, united fight, respect, honor, ca"
