topic,label,size,share_%,coherence_cv,keywords
0,potus · think · did,3716,89.87,0.469,"potus, think, did, people, news, public, control, does, power, fake"
-1,noise / outliers,178,4.3,,"memes, flagsout, love country, country, love, person, happy hunting, symbolism downfall, downfall, hunting"
1,warfare · information warfare · insurgency,46,1.11,0.5799,"warfare, information warfare, insurgency, shadow, shadow presidency, presidency, information, subversion, irregular, political"
2,vip · vip patriot · enjoy,43,1.04,0.2664,"vip, vip patriot, enjoy, patriot, vip patriots, eyes, 55, patriots, row, patriots thank"
3,worth remembering · remembering · worth,40,0.97,0.5412,"worth remembering, remembering, worth, movie, worth following, forget, makes, remember, secrets relevant, remember names"
4,believe coincidences · coincidences · coincidences believe,40,0.97,0.4375,"believe coincidences, coincidences, coincidences believe, believe, coincidences think, tonight, 20 2017, 107, day believe, did die"
5,wwg1wga wwg1wga · wwg1wga · wrwy,40,0.97,0.2754,"wwg1wga wwg1wga, wwg1wga, wrwy, ww"
6,wwg1wga wwg1wga · wwg1wga · wwg1wga people,32,0.77,0.5146,"wwg1wga wwg1wga, wwg1wga, wwg1wga people, people wwg1wga, people"
