topic,label,size,share_%,coherence_cv,keywords
46,test · test failed · checkmate,20,0.47,0.5012,"test, test failed, checkmate, 4chan, does tell, stress, infiltrated, failed, results, 11"
47,silent war · war continues · silent,20,0.47,0.5715,"silent war, war continues, silent, continues, bye, war, pain coming, larp, april showers, silence"
48,love country · love · country,19,0.45,0.2935,"love country, love, country, country make, honor respect, united fight, attention deck, deck, flags, respect"
49,awakening · great awakening · awakening great,19,0.45,0.3342,"awakening, great awakening, awakening great, great, awakening wwg1wga, pop awakening, handle care, leads, handle, impressive"
50,confirmed · confirmed confirmed · typo,19,0.45,0.338,"confirmed, confirmed confirmed, typo, confirmed good, happy hunting, graphic confirmed, hammer, hunting, signatures, gift"
51,symbolism · symbolism downfall · downfall,18,0.42,0.6975,"symbolism, symbolism downfall, downfall, owl, head, push conspiracy, cult, conspiracy theory, identify, represent"
52,happening · pattern · garage,17,0.4,0.5838,"happening, pattern, garage, noose, falling, chatter, optics, door, close, understand"
53,picture posted · news past · past days,16,0.38,0.4467,"picture posted, news past, past days, graphic key, graphic, clearly, hide, posts, posted, live"
54,hunted · hunters hunted · hunters,16,0.38,0.2851,"hunted, hunters hunted, hunters, spider, spider web, heel, web, exact, bait, delivered"
55,trust · kansas · plan trust,15,0.35,0.3354,"trust, kansas, plan trust, wray, trust plan, trust sessions, https myoutubecomwatchvg2qixxafxcq, control trust, carefully trust, trust believe"
