topic,label,size,share_%,coherence_cv,keywords
-1,noise / outliers,1637,38.54,,"bank, central bank, central, democratic, child, boom, light, know, new, good"
0,mueller · fbi · fisa,754,17.75,0.5058,"mueller, fbi, fisa, did, house, rr, sessions, doj, hussein, sa"
1,fake news · media · fake,285,6.71,0.6386,"fake news, media, fake, divided, narrative, attacks, antifa, news, control, control narrative"
2,patriots · bless · god bless,211,4.97,0.4498,"patriots, bless, god bless, patriot, god, thank, united, stand, honor, nation god"
3,test test · test · qa,170,4.0,0.3265,"test test, test, qa, 000, master, review time, 5347, end near, sample, 10"
4,covid19 · virus · virus election,64,1.51,0.3514,"covid19, virus, virus election, biden, benefits, homes, patients, lockdown, c19, election"
5,map · news unlocks · unlocks,60,1.41,0.6031,"map, news unlocks, unlocks, proves past, future proves, unlocks map, proves, stringer, future, past news"
6,anons · anon · impressive,57,1.34,0.2671,"anons, anon, impressive, anons knew, thank anon, knew, course anons, anons know, impressive impressive, message"
7,tweets · twitter · tweet,54,1.27,0.3215,"tweets, twitter, tweet, click, min, posts, potus tweet, timestamp, potus tweets, posts vs"
8,insurgency · warfare · subversion,49,1.15,0.304,"insurgency, warfare, subversion, information warfare, seize, shadow, shadow presidency, government, population, defined"
9,armor god · armor · lord,47,1.11,0.6411,"armor god, armor, lord, evil, spirit, god, stand, spiritual, strong lord, blood"
10,yes · aw · freedom,46,1.08,0.3427,"yes, aw, freedom, ex, conf, 271, stand freedom, ok, castle, route"
11,voter · id · voter id,42,0.99,0.3515,"voter, id, voter id, immigrants, ca, votes, road, vote, ballots, blank"
12,vip · vip patriot · vip patriots,42,0.99,0.3012,"vip, vip patriot, vip patriots, enjoy, patriot, eyes, 55, patriots eyes, row, patriots"
13,believe coincidences · coincidences · coincidences believe,41,0.97,0.404,"believe coincidences, coincidences, coincidences believe, believe, coincidences think, 20 2017, 107, day believe, coincidence enjoy, chapters"
14,mathematically impossible · impossible · mathematically,41,0.97,0.403,"mathematically impossible, impossible, mathematically, coincidences, believe coincidences, point mathematically, believe, islands, history world, 17th"
15,coincidence coincidence · coincidence · coincidence twitter,40,0.94,0.4273,"coincidence coincidence, coincidence, coincidence twitter, odds, boom boom, boom, conspiracy coincidence, follows, guard coincidence, gloria"
16,ready · vigilant · stand ready,40,0.94,0.2476,"ready, vigilant, stand ready, surroundings, alert, stay, stay alert, say, save america, trains"
17,worth remembering · remembering · worth,39,0.92,0.4354,"worth remembering, remembering, worth, good movie, worth following, forget, movie, makes, quarterback, remember names"
18,wwg1wga wwg1wga · wwg1wga · john brennan,38,0.89,0.1996,"wwg1wga wwg1wga, wwg1wga, john brennan, wrwy wwg1wga, wrwy, brennan, john"
19,confirmed · knowingly knowingly · knowingly,36,0.85,0.5926,"confirmed, knowingly knowingly, knowingly, correct, confirmed good, typo, sums perfectly, 12 confirmed, submission, authentic"
20,jack · snowden · perry,33,0.78,0.3947,"jack, snowden, perry, perry barlow, john perry, barlow, mz, know know, hows, freedom press"
21,truth right · knowledge power · knowledge,33,0.78,0.4047,"truth right, knowledge power, knowledge, truth, doors, right, difficult, look truth, people cure, look close"
22,wwg1wga wwg1wga · wwg1wga · visible,33,0.78,0.3782,"wwg1wga wwg1wga, wwg1wga, visible, letters, match, follow pen, written, pen, left, follow"
23,error · spelling · disregard,30,0.71,0.3566,"error, spelling, disregard, busy day, long night, busy, errors, corrected, password, mistake"
24,thinking know · ask normal · normal,28,0.66,0.4387,"thinking know, ask normal, normal, expand thinking, thinking, logical, expand, corrupted, factory, apply logic"
25,soon · charges coming · news coming,28,0.66,0.4667,"soon, charges coming, news coming, coming, best come, big drop, whats, pp, happening, coming public"
26,trip · trip update · update,26,0.61,0.3493,"trip, trip update, update, trip code, tripcode, devices, multiple, confirmed, working, relay"
27,panic dc · panic · dc panic,25,0.59,0.3711,"panic dc, panic, dc panic, dc, panic panic, extradition, meeting potus, declined, req, ll"
28,divided · class · unity,24,0.56,0.4194,"divided, class, unity, want, want divided, religion, race, weak, wars want, strong"
29,board · analyzed · im,23,0.54,0.311,"board, analyzed, im, pb, godspeed, nat sec, verify, nat, removed post, silent running"
30,ip · compromised · board compromised,22,0.52,0.3115,"ip, compromised, board compromised, board, ga, random, issues, secured, site, iden"
31,memes · meme · ready,21,0.49,0.367,"memes, meme, ready, attention deck, memes important, distraction, deck, prep, memes truth, high priority"
32,carefully · listen carefully · listen,20,0.47,0.3162,"carefully, listen carefully, listen, read carefully, think trust, read, meet ig, silence inaction, read read, mistake silence"
33,people stupid · stupid · stupid people,20,0.47,0.4054,"people stupid, stupid, stupid people, jail, maxine, dem panic, fall single, dem, enjoy people, evil sick"
34,test · sat · sec,19,0.45,0.6011,"test, sat, sec, hold, hold conf, relay, sig, sat sec, d3, rel"
35,meaning · double meanings · meanings,18,0.42,0.3266,"meaning, double meanings, meanings, double, meanings exist, game, random, alice, mad hatter, sniffers"
36,love country · love · country,18,0.42,0.3052,"love country, love, country, country make, honor respect, united fight, flags, respect, great, honor"
37,masks · reconcile · cameras,17,0.4,0.4583,"masks, reconcile, cameras, search, insertion, 48, network, comms dark, image search, qanon search"
38,renegade · betrays · person,17,0.4,0.3006,"renegade, betrays, person, usss, traitor, noun person, illegally surv, loves, noun, especially"
