topic,label,size,share_%,coherence_cv,keywords
0,people · potus · think,3935,92.63,0.3809,"people, potus, think, public, control, power, time, know, truth, god"
-1,noise / outliers,143,3.37,,"remembering, worth remembering, worth, love country, test, panic dc, panic, love, sec, sat"
1,wwg1wga wwg1wga · wwg1wga · wrwy,79,1.86,0.5093,"wwg1wga wwg1wga, wwg1wga, wrwy, visible, john brennan, divide fail, unitednotdivided wwg1wga, try harder, unitednotdivided, maryland"
2,insurgency · warfare · subversion,49,1.15,0.4126,"insurgency, warfare, subversion, information warfare, seize, government, political, shadow, population, shadow presidency"
3,vip · vip patriot · enjoy,42,0.99,0.3012,"vip, vip patriot, enjoy, patriot, vip patriots, eyes, 55, patriots, row, eyes patriots"
